school	major	degree	season	decision	gpa	status	GRE_AW	GRE_V	GRE_Quant
Harvard University	Government	PhD	Fall 2022	Rejected	3.77	American	5.5		166.0
Boston College	M.A. In Mental Health Counseling	Masters	Fall 2022	Accepted		American			
Rutgers Universityâ€“New Brunswick	Masters Of Science Degree Program In Rehabilitation Counseling- Clinical Mental Health Counseling- P	Masters	Fall 2022	Accepted		American			
Boston University	Mental Health Counseling And Behavioral Medicine	Masters	Fall 2022	Accepted		American			
The Citadel	School Psychology	Other	Fall 2022	Interview	3.8	American			
Harvard University	Government	PhD	Fall 2022	Rejected		International			
University Of Colorado, Boulder	Social Psychology	PhD	Fall 2022	Rejected		American			
Advanced Standing, University Of Michigan (Ann Arbor)	Masters Of Architecture	Masters	Fall 2022	Accepted	3.7	International			
Jacksonville University	Speech Language Pathology	Other	Fall 2022	Wait listed		American			
UIUC	Astrophysics	PhD	Fall 2022	Rejected	3.68	International			
SUNY Ithaca	Economics	PhD	Fall 2022	Accepted		International			
Northeastern University	Psychology	PhD	Fall 2022	Rejected	3.55	American			
University Of Illinois	Physics	PhD	Fall 2022	Rejected	3.96	American			
Columbia University	Economics	PhD	Fall 2022	Wait listed		International			
City University Of New York (CUNY)	Sociology	PhD	Fall 2022	Accepted	3.98	American			
University Of California, Los Angeles	SSCE	Masters	Fall 2022	Accepted		American			
University Of Washington	International Studies	Masters	Fall 2021	Accepted	3.74	American	4.5	161.0	155.0
Cornell University	Economics	PhD	Fall 2022	Rejected		International			
Immaculata University	Clinical Psychology		Fall 2022	Accepted		American			
Harvard University	Health Policy - Political Analysis	PhD	Fall 2022	Rejected	4.0	International			
Cornell University	Economics	PhD	Fall 2022	Rejected		International			168.0
Ohio State University	Mathematics	PhD	Fall 2022	Rejected		International			
Harvard University	Health Policy - Methods For Policy Research Track	PhD	Fall 2022	Rejected	3.68	International	3.5	158.0	168.0
New York University (NYU) - Steinhardt	Speech Language Pathology	Masters	Fall 2022	Accepted	3.91	American			
Purdue University - West Lafayette	Philosophy	PhD	Fall 2022	Accepted		International			
Cornell University	Economics	PhD	Spring 2022	Rejected	3.9	International			
Harvard University	Government Political Science	PhD	Fall 2022	Rejected		International			
Cornell University	Economics	PhD	Fall 2022	Rejected		International			
University Of New Hampshire	Creative Writing	MFA	Fall 2022	Accepted		American			
New York University (NYU) - Steinhardt	Speech Language Pathology	Masters	Fall 2022	Accepted	3.51	International	4.0	159.0	157.0
University Of South Florida	Creative Writing	MFA	Fall 2022	Rejected		American			
University Of California, Los Angeles	Environmental Health Sciences MPH	Masters	Fall 2022	Accepted	3.5	American	4.0	152.0	156.0
University Of Pittsburgh	Creative Writing	MFA	Fall 2022	Rejected					
Harvard University	Government Political Science	PhD	Fall 2022	Rejected		International			
University Of Illinois	Physics	PhD	Fall 2022	Rejected		International			
Cornell University	Economics	PhD	Fall 2022	Rejected	3.82	American			170.0
Chapman University	Fiction	MFA	Fall 2022	Accepted	2.7	International			
University Of Massachusetts, Amherst	Philosophy	PhD	Fall 2022	Wait listed	3.72	American	5.0	169.0	169.0
Cornell University	Economics	PhD	Fall 2022	Rejected		International			
Cornell University	Economics	PhD	Fall 2022	Rejected		International			
University Of Louisiana At Lafayette	Computer Science	PhD	Fall 2022	Accepted	3.13	International	3.5	150.0	166.0
University Of Maryland	BISI	PhD	Fall 2022	Wait listed		International			
